"sex","educ","region","year"
"M","1st grade","East South Central","1980's"
"M","1st grade","East South Central","1990's"
"M","1st grade","East South Central","2000's"
"M","1st grade","East South Central","2010's"
"M","1st grade","East South Central","2020's"
"M","1st grade","West South Central","1970's"
"M","1st grade","West South Central","1980's"
"M","1st grade","West South Central","1990's"
"M","1st grade","West South Central","2000's"
"M","1st grade","West South Central","2010's"
"M","1st grade","West South Central","2020's"
"M","1st grade","Mountain","1970's"
"M","1st grade","Mountain","1980's"
"M","1st grade","Mountain","1990's"
"M","1st grade","Mountain","2000's"
"M","1st grade","Mountain","2010's"
"M","1st grade","Mountain","2020's"
"M","1st grade","Pacific","1970's"
"M","1st grade","Pacific","1980's"
"M","1st grade","Pacific","1990's"
"M","1st grade","Pacific","2000's"
"M","1st grade","Pacific","2010's"
"M","1st grade","Pacific","2020's"
"M","No formal schooling","New England","1970's"
"M","No formal schooling","New England","1980's"
"M","No formal schooling","New England","1990's"
"M","No formal schooling","New England","2000's"
"M","No formal schooling","New England","2010's"
"M","No formal schooling","New England","2020's"
"M","No formal schooling","Middle Atlantic","1970's"
"M","No formal schooling","Middle Atlantic","1980's"
"M","No formal schooling","Middle Atlantic","1990's"
"M","No formal schooling","Middle Atlantic","2000's"
"M","No formal schooling","Middle Atlantic","2010's"
"M","No formal schooling","Middle Atlantic","2020's"
"M","No formal schooling","East North Central","1970's"
"M","No formal schooling","East North Central","1980's"
"M","No formal schooling","East North Central","1990's"
"M","No formal schooling","East North Central","2000's"
"M","No formal schooling","East North Central","2010's"
"M","No formal schooling","East North Central","2020's"
"M","No formal schooling","West North Central","1970's"
"M","No formal schooling","West North Central","1980's"
"M","No formal schooling","West North Central","1990's"
"M","No formal schooling","West North Central","2000's"
"M","No formal schooling","West North Central","2010's"
"M","No formal schooling","West North Central","2020's"
"M","No formal schooling","South Atlantic","1970's"
"M","No formal schooling","South Atlantic","1980's"
"M","No formal schooling","South Atlantic","1990's"
"M","No formal schooling","South Atlantic","2000's"
"M","No formal schooling","South Atlantic","2010's"
"M","No formal schooling","South Atlantic","2020's"
"M","No formal schooling","East South Central","1970's"
"M","No formal schooling","East South Central","1980's"
"M","No formal schooling","East South Central","1990's"
"M","No formal schooling","East South Central","2000's"
"M","No formal schooling","East South Central","2010's"
"M","No formal schooling","East South Central","2020's"
"M","No formal schooling","West South Central","1970's"
"M","No formal schooling","West South Central","1980's"
"M","No formal schooling","West South Central","1990's"
"M","No formal schooling","West South Central","2000's"
"M","No formal schooling","West South Central","2010's"
"M","No formal schooling","West South Central","2020's"
"M","No formal schooling","Mountain","1970's"
"M","No formal schooling","Mountain","1980's"
"M","No formal schooling","Mountain","1990's"
"M","No formal schooling","Mountain","2000's"
"M","No formal schooling","Mountain","2010's"
"M","No formal schooling","Mountain","2020's"
"M","No formal schooling","Pacific","1970's"
"M","No formal schooling","Pacific","1980's"
"M","No formal schooling","Pacific","1990's"
"M","No formal schooling","Pacific","2000's"
"M","No formal schooling","Pacific","2010's"
"M","No formal schooling","Pacific","2020's"
